ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2003-01-30,28.804399808790336,14.473276493723416,19.88767164111097,28.804399808790336,28.804399808790336,-11.43389760997233,-11.43389760997233,-11.43389760997233,-0.0048227469180087135,-0.0048227469180087135,-0.0048227469180087135,-11.429074863054321,-11.429074863054321,-11.429074863054321,0.0,0.0,0.0,17.370502198818006
2003-01-31,28.804274289604614,14.997485841840922,20.143752164174273,28.804274289604614,28.804274289604614,-11.307601417818745,-11.307601417818745,-11.307601417818745,-0.008750817577204159,-0.008750817577204159,-0.008750817577204159,-11.29885060024154,-11.29885060024154,-11.29885060024154,0.0,0.0,0.0,17.49667287178587
2003-02-01,28.804148770418898,15.003495666396818,20.26712617523096,28.804148770418898,28.804148770418898,-11.150307773075015,-11.150307773075015,-11.150307773075015,0.008322986368020134,0.008322986368020134,0.008322986368020134,-11.158630759443037,-11.158630759443037,-11.158630759443037,0.0,0.0,0.0,17.653840997343885
2003-02-02,28.80402325123318,15.106602759522593,20.421974695021497,28.80402325123318,28.80402325123318,-10.985971975770738,-10.985971975770738,-10.985971975770738,0.02233427983539308,0.02233427983539308,0.02233427983539308,-11.00830625560613,-11.00830625560613,-11.00830625560613,0.0,0.0,0.0,17.81805127546244
2003-02-03,28.803897732047457,15.437743397777506,20.577483090833315,28.803897732047457,28.803897732047457,-10.821871870328177,-10.821871870328177,-10.821871870328177,0.026065392906497824,0.026065392906497824,0.026065392906497824,-10.847937263234675,-10.847937263234675,-10.847937263234675,0.0,0.0,0.0,17.98202586171928
2003-02-04,28.80377221286174,15.45859856210566,20.668008129606882,28.80377221286174,28.80377221286174,-10.700449946244172,-10.700449946244172,-10.700449946244172,-0.02269443139568466,-0.02269443139568466,-0.02269443139568466,-10.677755514848487,-10.677755514848487,-10.677755514848487,0.0,0.0,0.0,18.103322266617567
2003-02-05,28.803646693676022,15.637741229841431,20.770150362720162,28.803646693676022,28.803646693676022,-10.518616270540706,-10.518616270540706,-10.518616270540706,-0.020454663218939982,-0.020454663218939982,-0.020454663218939982,-10.498161607321766,-10.498161607321766,-10.498161607321766,0.0,0.0,0.0,18.285030423135318
2003-02-06,28.8035211744903,15.897911916440274,21.281061954082116,28.8035211744903,28.8035211744903,-10.314540139349562,-10.314540139349562,-10.314540139349562,-0.0048227469179904624,-0.0048227469179904624,-0.0048227469179904624,-10.309717392431573,-10.309717392431573,-10.309717392431573,0.0,0.0,0.0,18.48898103514074
2003-02-07,28.803395655304584,16.15710650299577,21.22732615451167,28.803395655304584,28.803395655304584,-10.121884486427279,-10.121884486427279,-10.121884486427279,-0.008750817577229262,-0.008750817577229262,-0.008750817577229262,-10.113133668850049,-10.113133668850049,-10.113133668850049,0.0,0.0,0.0,18.681511168877307
2003-02-08,28.803270136118865,16.296723910369842,21.51255208110361,28.803270136118865,28.803270136118865,-9.900930541052903,-9.900930541052903,-9.900930541052903,0.008322986367996178,0.008322986367996178,0.008322986367996178,-9.9092535274209,-9.9092535274209,-9.9092535274209,0.0,0.0,0.0,18.90233959506596
2003-02-09,28.803144616933142,16.36464843472302,21.737213348286634,28.803144616933142,28.803144616933142,-9.676697546161543,-9.676697546161543,-9.676697546161543,0.02233427983537359,0.02233427983537359,0.02233427983537359,-9.699031825996915,-9.699031825996915,-9.699031825996915,0.0,0.0,0.0,19.126447070771597
